,id,word,chinese,explain
11,12,Albigensianism,阿比尔教派,"A heretical christian sect of cathars (see catharism) that flourished in southern france in the 12th and 13th centuries. the name comes from the town of albi, though the main centre of the albigensians was in toulouse, to its south. the sect rejected the priestly functions of the roman catholic church and believed in a manichaean dualism of spiritual good and material evil: god and the evil one; light and dark. the albigensians admired extreme ascetism, including celibacy, and were divided into two classes: the believers and the “perfect”. those able to meet the sect’s strict standards were the perfect – and were, of course, a minority. the albigensians prospered in part because of their contrast with a corrupt catholic church, but in 1209 pope innocent iii launched a crusade against them, promising that the land of the defeated albigensians would pass to his allies from northern france. the crusade lasted for 20 bloody years, ending with the destruction of provençal civilisation and passing control of the languedoc region to the french monarchy. there then followed, under pope gregory ix, an investigation of the albigensians by the dominican order of monks – the beginning of the century-long inquisition that crushed the movement forever."
12,13,Albinism,白化病,"The absence, by a congenital defect, of the melanin pigment in a person, leading skin to be white and eyes to be usually blue but occasionally red. the term, derived from the latin albus, meaning white, originates in the early 18th century when the portuguese noticed albinos among african blacks. the condition can also be found in birds and animals, though white tigers are not actually albinos."
13,14,Alcoholism,酗酒症,"An addiction, sometimes associated with mental illness, to alcoholic drinks, which an alcoholic consumes to excess. america’s national council on alcoholism and drug dependence defines alcoholism as “a primary, chronic disease characterised by impaired control over drinking, preoccupation with the drug alcohol, use of alcohol despite adverse consequences, and distortions in thinking”. the description of alcoholism as a disease, rather than simply a form of behaviour, became prevalent in the latter half of the 20th century and is not universally accepted. what is clear, however, is that alcoholics are disproportionately prone to health problems such as liver disease."
14,15,Altruism,利他主义,"A doctrine – coined in the 19th century by the french philosopher auguste comte (1798–1857), the founder of positivism – that holds that individuals have a moral duty to seek the good of others. altruism, the opposite of egoism and selfishness, is basic to many religions, from christianity to sikhism. one problem, however, is to define “the good”, not least when short-term and long-term interests diverge or when the doer of good and the supposed beneficiary disagree."
15,16,American exceptionalism,美国例外论,"A notion, rooted in the admiring 19th-century commentary of the french historian alexis de tocqueville (1805–59), that the united states has a special place in the world as a nation of democracy, opportunity and immigrants. as the british writer g.k. chesterton (1874–1936) noted, “america is the only nation in the world that is founded on a creed. that creed is set forth with dogmatic and even theological lucidity in the declaration of independence.” the term, a favourite of political scientists after the second world war, has roots that are religious (as in the 17th-century metaphor that america “shall be a city upon a hill” and in the 19th-century theory of a conquering “manifest destiny”). but the roots are also social – america as a melting pot of races – and, indeed, environmental, given the variety of america’s natural resources and geography. unimpressed cynics note that many nations consider themselves exceptional, and critics argue that american exceptionalism is an excuse for jingoism and neo-imperialism."
16,17,Anabaptism,再洗礼派,"The doctrine, held by radical protestants, that baptism – signifying entry into the christian church – should be confined to adults, rather than being administered to infants as in most christian denominations. the word, originally used derisively by mainstream christians, is derived from the latin anabaptismus (second baptism), in turn from the greek ana, meaning up or anew, and baptismos (baptism), and was first used in english in 1532. the second baptism would have been administered to adult converts who had already been baptised as infants. the anabaptists were a radical wing of the 16th-century reformation movement, seeking to model themselves on the earliest christians. they rejected infant baptism on the grounds that infants had no knowledge of good and evil and could therefore not repent and accept baptism. they baptised converts for the first time in zurich in 1525, in protest at the city council’s decree that all unbaptised children be baptised. these particular anabaptists, known as the swiss brethren, separated themselves from the control of the state church, thus becoming the first to practise the complete separation of church and state."
17,18,Anarchism,无政府主义,"A philosophy, literally meaning (from the greek) “without rule”, that holds that mankind can and should live in harmony without government – and that government is intrinsically harmful. the word was first used pejoratively in the 17th-century english civil war by opponents of the levellers (a movement espousing popular sovereignty in opposition to the monarchy), but in 1793, while not using the word itself, a british journalist, william godwin (1756–1836), elaborated on the virtues of anarchism and the natural goodness of human beings. the first to call himself an anarchist, in 1840, was the french philosopher pierre-joseph proudhon (1809–65), famous for declaring that “property is theft”. anarchists are often linked with extreme left-wing movements and with marxism, but – in contrast to anarchists – marxists believe the state must first be taken over before it can wither away, hence a fundamental disagreement in the 19th century between karl marx (1818–83) and mikhail bakunin (1814–76), whose support for violent action inspired a string of political assassinations. anarchism’s high point was reached in the early decades of the 20th century in europe, before it was crushed by the rise of fascism. it survives today only as a fringe movement, inspired by its opposition to globalisation (see globalism)."
18,19,Anarcho-syndicalism,无政府工团主义,"A political and social movement, perhaps originating in the spanish labour movement in the late 19th century but certainly common in france in the first decades of the 20th century, which sought to replace the state and establish in its place a society based on workers organised in units of production. the anarcho-syndicalists, who were influenced by pierre-joseph proudhon (see anarchism), opposed the wage system as a form of exploitation by the capitalist class, reducing workers to the status of slaves. the derivation of the term is from the greek anarkhos, meaning “without (an) a ruler (arkhos)”, and the french syndicalisme, meaning trade unionism. the principles of anarcho-syndicalism were first spelled out at the “first international” – the meetings of the international workingmen’s association in the 1860s in london and geneva – where participants were split into followers of karl marx and those, the anarchists, who preferred the views of his russian rival mikhail bakunin. at the time, marx favoured action through parliamentary democracy; bakunin and his followers, in the words of another russian revolutionary, peter kropotkin (1842–1921), advocated “direct economical struggle against capitalism, without interfering in the political parliamentary agitation”. though anarcho-syndicalism had widespread influence among workers in europe (and, before the first world war, among america’s workers, too), the movement faded after the first world war as trade unions and other workers’ movements found the soviet model of communism more convincing."
19,20,Aneurism,动脉瘤,"An enlargement, also spelt as aneurysm, of a section of an artery caused by a weakening of the artery wall. the derivation is from the greek aneurusma, meaning dilation or widening, and the wider the aneurism the greater the risk of rupture. if an aneurism of the aorta, the main artery from the heart, ruptures, there is a high risk of death."
20,21,Anglicanism,安立甘宗/圣工会,"A tradition of christianity that has its roots in the church of england (which rejected the authority of the roman catholic pope in 1534 in protest at the papal refusal to annul the marriage of henry viii). the word itself dates back only to the 19th century, adding a suffix to “anglican”, which dates back to the 13th century. by the lambeth conference of 1867 in london the sense of an “anglican communion” had emerged as a kind of middle way between roman catholicism and reformed protestantism. anglicanism today has some 80m adherents and so is the largest christian denomination after the roman catholic and eastern orthodox churches. shared by all anglicans, including america’s episcopalians, is the book of common prayer. anglican doctrine and practice are by no means strictly defined, with various strands coexisting in a “broad church”. there is no single head of the anglican communion, but the archbishop of canterbury is considered “first among equals”."
21,22,Animism,万物有灵论,"The belief (from the latin anima, or “soul”) that supernatural spirits, or souls, inhabit animals, plants or inanimate objects such as rocks. the british anthropologist edward burnett tylor (1832–1917) first surveyed animistic beliefs in his 1871 book primitive culture, arguing that religion began with animism. the french sociologist emile durkheim (1858–1917) argued by contrast that religion began with totemism. while totemism and animism are similar, animism focuses on individual spirits that help sustain life, whereas totemism tends to emphasise ancestors, or the land itself, as the basis of life. whatever the nuances, animism has been virtually universal in early cultures and remains widespread today. japanese shintoism, for example, is highly animistic, and animism is especially common in the developing world."
22,23,Antagonism,对抗性,"A state of hostility or opposition, which may range from the petty to the serious and violent. in classical drama the antagonist is the adversary of the protagonist, or hero."
23,24,Anthropocentrism,人类中心说,"The theory that the world exists for the benefit of humans (anthropos being greek for man), rather than animals. as such, the theory is generally reviled by environmentalists (see environmentalism), critical of the damage wrought by man’s exploitation of the earth."
24,25,Anthropomorphism,拟人论,"The attribution of human characteristics or actions to a non-human object or being, especially to a god. the derivation is from the greek anthropos, meaning man, and morphe, meaning form. the gods of ancient greece were all to some extent anthropomorphised, but the most obvious modern examples are the depiction in christian art of god as a bearded man and the attribution of human voices and personalities to disney and other cartoon characters."
25,26,Anthroposophism,人智学/精神科学,"(or anthroposophy) a philosophy that holds that the human intellect can contact the spiritual world. this idea (from the greek anthropos, meaning man, and sophia, meaning wisdom) was developed by rudolf steiner (1861–1925), an austrian philosopher and scientist, who proposed the existence of a spiritual world accessible to pure thought through an ability latent in all humans. steiner said that man had participated in the spiritual processes of the world through a dreamlike consciousness – and could do so again by developing a faculty for thinking and perception separate from the senses. steiner had originally been involved in the theosophical society but became disillusioned by the organisation’s presentation of jiddu krishnamurti (1895–1986), an indian religious philosopher, as the reincarnation of christ. in 1912 steiner founded the anthroposophical society, now based in switzerland and with branches around the world."
26,27,Anti-Americanism,反美主义,"A sentiment of hostility to the policies, culture or people of the united states. it is sometimes assumed that anti-americanism began in the 20th century, as a reaction to the economic, technological and military supremacy of the united states and the parallel decline of european powers such as britain and france. in fact, european anti-americanism can be traced back at least to the 18th and 19th centuries, with the british writer frances trollope (1779–1863), for example, decrying america’s “want of refinement”. in the modern era, the vietnam war and more recently the iraq war have helped foment at times an almost universal opposition to american policy, with pollsters finding few positive views – despite america’s continuing attraction as a destination for migrants and despite the global demand for american popular culture, from fashion to film. degrees of anti-americanism vary with place and time: french intellectuals have traditionally scorned america as crass; muslims, regardless of country, criticise america’s support for israel and tend to regard its policy in the middle east, afghanistan and pakistan as anti-islamic."
27,28,Anti-capitalism,反资本主义,"A broad-brush term for opposition to the economic system – capitalism – by which individuals own the means of production and are free to maximise their profits. arguably, fascism is a form of anti-capitalism since it welds corporatist interests with the state and so reduces the freedom of the individual, but more obvious opponents of capitalism are socialism and communism (marx predicted that capitalism would end because it exploited the workers). there are, too, religious objections to some aspects of capitalism: historically, the roman catholic church forbade usury, and islam similarly forbids charging interest on loans. though most economists consider capitalism as the most effective means of both increasing and distributing economic growth, opponents frequently accuse it of harmful excesses, be they lavish rewards for bankers and bosses or damage to the environment in the quest for growth."
28,29,Anti-communism,反共主义,"A 20th-century movement of opposition to both the ideology of communism and, more particularly, its practice by the soviet union and the people’s republic of china. the roman catholic church was always anti-communist. so too was the united states. but the main opponents in the years in the first half of the century were the fascist movements in spain, italy and germany. germany’s defeat in the second world war ended the need for an american-russian alliance and marked the start of the “cold war” between the two superpowers, each vying for ideological influence around the world – hence war and conflict, directly or by proxy, in korea, south-east asia, africa, afghanistan, the middle east and latin america. meanwhile, anti-communist movements took root in european satellites of the soviet union, from east germany to poland. with the collapse of the soviet union in 1991 anti-communism lost much of its reason for being – though not entirely: economic hardship in central and eastern europe in the 21st century has led in some countries to a resurgence of communist parties."
29,30,Antidisestablishmentarianism,反对政教分离学说,"A 19th-century movement seeking to preserve the church of england’s status as the state church in england, wales and ireland (succeeding in england, but failing in wales and ireland). the word now survives in schoolroom lore as the (supposedly) longest non-technical and non-scientific word in the english language."
30,31,Anti-fascism,反法西斯主义,"A movement that opposed the rise of fascism in western europe in the 1920s and 1930s. one example was the anti-franco forces in the spanish civil war of 1936–39; another the french resistance to occupation by nazi germany in the second world war. in britain a notable event was the “battle of cable street” in london’s working-class east end in 1936, when some 300,000 anti-fascist demonstrators clashed with some 10,000 police overseeing a march through the area by oswald mosley’s british union of fascists (mosley was forced to abandon the march). before the collapse of the soviet union, anti-fascism was often connected with communism. today it commands a wide spectrum of political support, from anarchists (see anarchism) to liberal capitalists (see capitalism)."
31,32,Anti-globalism,反全球化主义,"Opposition to the process of globalisation (see globalism), and therefore opposition to the groups and institutions, from the international monetary fund to multinational corporations, that favour the process. the anti-globalism (or anti-globalisation) movement began in the late 20th century, at a time when america under ronald reagan (1911–2004) and britain under margaret thatcher were advocating free markets and the dismantling of barriers to trade. the movement, intrinsically left-wing in its political stance, regularly holds mass demonstrations at international meetings – for example, at the seattle meeting of the world trade organisation in 1999 and the g8 summit in genoa in 2001. a bête noire of the movement is the annual world economic forum held in davos, switzerland. this has prompted the anti-globalism movement to hold a counter forum, the world social forum (its first meeting was in 2001 in porto alegre, brazil)."
32,33,Anti-imperialism,反帝主义,"As an opposition to the foreign conquests of great powers, anti-imperialism began in the late 19th century and grew in the 20th. the anti-imperialist league was formed in 1898 in boston to oppose america’s acquisition of the philippines, and america’s foreign reach in the 20th and 21st centuries has sustained an anti-american brand of anti-imperialism (see anti-americanism). however, the greatest exponents of anti-imperialism were countries colonised by european powers such as britain, france, spain and portugal. with the granting of independence to most of these colonies in the second half of the 20th century, anti-imperialism has waned. (see also imperialism.)antinomianism the doctrine that christians are not obliged to obey moral or scriptural laws, especially those of the old testament (such as male circumcision), and that salvation is attained solely by faith and divine grace. this view allowed some heretical sects in early christianity and in the middle ages to indulge in sexual licence, but antinomian views flourished during the protestant reformation in the 16th century and were held by strict and ascetic groups such as the anabaptists (see anabaptism) – though not by martin luther (1483–1546), who in 1539 wrote “against the antinomians” to refute the ideas of johannes agricola (1494–1566), the first in the reformation era to hold that while non-christians were subject to the laws of moses, christians were not, since they were answerable to the gospel alone. agricola, who subsequently recanted, argued that god treated the sinner with pity rather than wrath. antinomianism remains a feature of several protestant denominations, from the mennonites and anabaptists to the quakers (for whom the “inner light” of god within each person takes precedence over the scriptures – see quakerism). the derivation of the term is from the greek anti, meaning against, and nomos, meaning law."
33,34,Anti-semitism,反律法主义,"Although arabs, too, are semitic, the term refers only to prejudice, hatred or persecution directed against jews. as such it has a depressingly long history, from the biblical tale of exodus, through the medieval crusades and the various expulsions of jews from britain (in 1290), spain (in 1492) and portugal (in 1497) to the european pogroms of the 19th century and finally the holocaust of the 20th century. since the defeat of hitler’s germany in 1945 anti-semitism has receded but still commands some popular support, especially in russia and former soviet satellites. explanations of anti-semitism vary: some christians blame jews (the old testament-proclaimed “chosen people”) for the death of christ, and the ban on usury for christians contributed to the oft-resented jewish financial success. the koran gives jews a protected status, and historically jews were much better treated in the muslim world than in europe. however, the creation of israel in 1948 as a jewish state has led to a widespread antagonism on the part of muslims, with anti-zionism (see zionism) often turning into anti-semitism."
,,Antinomianism,反犹太主义,"The doctrine that christians are not obliged to obey moral or scriptural laws, especially those of the old testament (such as male circumcision), and that salvation is attained solely by faith and divine grace. this view allowed some heretical sects in early christianity and in the middle Ages to indulge in sexual licence, but antinomian views flourished during the Protestant reformation in the 16th century and were held by strict and ascetic groups such as the Anabaptists (see Anabaptism) – though not by martin Luther (1483–1546), who in 1539 wrote “Against the Antinomians” to refute the ideas of Johannes Agricola (1494–1566), the first in the reformation era to hold that while non-christians were subject to the laws of moses, christians were not, since they were answerable to the Gospel alone. Agricola, who subsequently recanted, argued that God treated the sinner with pity rather than wrath. Antinomianism remains a feature of several Protestant denominations, from the mennonites and Anabaptists to the Quakers (for whom the “inner light” of God within each person takes precedence over the scriptures – see Quakerism). the derivation of the term is from the Greek anti, meaning against, and nomos, meaning law."
34,35,Aphorism,格言,"A succinct observation, or maxim, containing a supposed truth, such as “if it ain’t broke, don’t fix it” or friedrich nietzsche’s “what does not destroy us makes us stronger”. the term is from the greek aphorismos, or definition, and was first applied to the collected sayings of the greek physician hippocrates (460–377bc), such as “walking is man’s best medicine” and “life is short, art long, opportunity fleeting, experience misleading, judgment difficult”."
35,36,Arianism,阿里乌斯教派,"A christian heresy named after arius (c250–336), a priest in alexandria who claimed that christ was not truly divine but was a supernatural being who was not quite human. arius argued that god alone is self-existent and immutable; christ the son, created by god before all others, had a beginning and was finite – and so could not be immutable god. the council of nicaea in 325 condemned arius as a heretic and proclaimed that the son was “of one substance with the father”. nevertheless, arianism remained popular for the next half-century, especially during the reign, from 337 to 361, in the roman empire of constantius ii, a convinced arian. the collapse of arianism came when the christian emperors gratian and theodosius assumed power in the later part of the 4th century and when the first council of constantinople in 381 approved the nicene creed and proscribed arianism. the doctrine lived on in some germanic tribes to the end of the 7th century, and is shared in large part today by unitarians (see unitarianism) and jehovah’s witnesses."
36,37,Aristotelianism,亚里士多德主义,"A school of philosophy based on the teachings of the classical greek philosopher aristotle (384–322bc). aristotle studied with plato, but whereas platonism concentrates abstractly on idea as a precursor to matter, aristotle emphasised empirical analysis and argued that all things have an inherent purpose. the idea, in aristotelian teleology, that an explanation of something must consider its final cause or purpose, subsequently made aristotelianism attractive to the christian church, which could then identify purpose with god’s will and argue that since there is design in the world there must be a designer. aristotelian ethics emphasise the intellect and the practice of virtue – which involves moderation. aristotle’s ideas, on subjects as varied as poetry and politics, have been influential through the ages, having been saved for the west by the translations into arabic in the middle ages by arab and jewish scholars such as al-farabi and maimonides."
37,38,Arminianism,阿米纽斯主义,"The theological doctrine of jacobus arminius (the latinised name of jakob hermandszoon, 1560–1609), a dutch protestant, who contested some of the tenets of calvinism. whereas calvin spoke of predestination and the total depravity of man and believed that salvation was entirely in god’s gift, arminius believed that man had free will and that faith was a man’s contribution to his salvation. similarly, whereas calvin taught that it was god’s choice of the sinner that led to salvation, arminius taught that it was the sinner’s choice of christ. as such, arminianism has been particularly influential in the growth of methodism."
38,39,Asceticism,禁欲主义,"A mode of living that limits or avoids earthly pleasures such as sex and alcohol. the notion, common to many religious traditions, is that such abstinence will help the attainment of spiritual goals (buddhist ascetics, for example, seek nirvana – see buddhism). ironically, asceticism (from the greek for “training”) has a less elevated origin in the training regimes of athletes preparing for the olympics in ancient greece – and such disciplines remain fashionable in modern sport, making many an unspiritual boxer just as ascetic as a monk."
39,40,Atavism,返祖现象,"The reversion, as in “atavistic fears”, to an earlier type, especially in the sense of ancestors or an earlier period of history. in biology, atavism (from the latin atavus, or forefather) refers to the reappearance of the characteristics of a remote ancestor that have been absent in intervening generations. an atavism is thus an evolutionary throwback."
40,41,Atheism,无神论,"The belief that god or gods do not exist, in contrast to agnosticism, which leaves open the question. atheism has been a common concept for centuries (democritus and epicurus were atheists in ancient greece) and is explicit in marxism (as marx put it, “religion is the opiate of the masses”). in the 19th century the german philosopher friedrich nietzsche (1844–1900) proclaimed “the death of god”; and in the 20th century the french philosopher jean-paul sartre (1905–80) argued that human freedom and the existence of god were incompatible. though atheism is usually described as unspiritual, some forms of buddhism offer no gods and so their followers could technically be called atheists. the popularity of atheism is difficult to assess, but is certainly lower in america, where polls find that 75% of americans believe in a supreme being, than in europe (a 2006 poll reckoned 32% of the french were atheists)."
41,42,Atomism,原子论,"The idea, developed by leucippus and democritus, greek philosophers of the 5th century bc, that complex phenomena are collections of fixed units or atoms, and that changes come when the combinations of atoms change. in the early 20th century the british philosopher bertrand russell (1872–1970) and his austrian pupil, ludwig wittgenstein (1889–1951), developed “logical atomism”, a belief that the world consists ultimately of “facts”, or atoms, that cannot be further broken down. logical atomism attempts to identify the atoms of thought."
42,43,Authoritarianism,威权主义,"A form of government that involves strong or even oppressive control of the people, but less so than the control exercised (often with force) by a totalitarian regime. the roman catholic church, for example, is authoritarian rather than totalitarian. developing countries frequently have authoritarian governments, who argue that less control would mean lower economic growth."
43,44,Autism,自闭症,"A lifelong development disorder characterised by difficulties in social interaction and communication and by obsessive and repetitive behaviour. the condition, usually apparent before a child is three years old, covers a broad spectrum of behaviour, and many sufferers – for example the so-called autistic savants – exhibit extraordinary talents in activities such as mathematics and music. a mild form of autism is asperger syndrome. according to america’s national institutes of health, three to six out of every thousand children are likely to be autistic, with boys four times more susceptible than girls."
44,45,Ba’athism,阿拉伯复兴党,"The ideology of the arab socialist ba’ath party (ba’ath being the arabic for renaissance). the ba’ath party was formed in the 1940s in damascus by michel aflaq, a syrian christian, and salah al-din al-bitar, a muslim compatriot, and merged with the syrian socialist party in 1953. ba’athism espouses, at least in theory, non-alignment, pan-arabism and anti-imperialism (in practice, ba’athists aligned themselves with the soviet union during the cold war). ba’athists have been in power in syria since 1963, the same year in which they briefly took control in iraq, regaining it there in 1968. despite their shared and non-religious advocacy of arab unity, the syrian and iraqi regimes never joined together. the syrian branch of ba’athism has survived under the authoritarian rule first of hafez al-assad and then of his son, bashar. ba’athism in iraq ended in 2003 with the overthrow of saddam hussein (c1937–2006)."
45,46,Babism,巴布教派,"A religion founded in persia with a revelation experienced in 1844 by mirza ali muhammad of shiraz (1819–50), who announced himself as the bab (arabic for gate), meaning the gateway to the “hidden imam” of shia islam (in hiding since the 9th century) and so to the knowledge of god. in the same year ali muhammad gathered 18 disciples, who along with him added up to the sacred babi number 19 (he also divided the year into 19 months of 19 days each). ali muhammad subsequently gave up the title of bab and announced that he was in fact the 12th imam, and later he described himself as a manifestation of god. in 1848 the babis declared a formal break with islam, which served to worsen their conflicts with the established order and led to the arrest and execution in 1850 of ali muhammad. in 1867 the movement split, with one group – the azalis – following the bab’s successor, sobh-e azal (1831–1912), and another sobh-e azal’s half-brother, baha’ullah, becoming known as baha’is (the bab remained for them a venerated figure)."
46,47,Baha’ism,巴哈伊教,"A monotheistic religion founded in 19th-century persia (now iran) by baha’ullah (1817–92) and continued by his eldest son, abdu’l-baha (1844–1921). baha’ism (from the arabic baha’, meaning splendour) has its roots in the teachings of mirza ali muhammad, a preacher in shiraz who was known as the bab (arabic for gate). the bab, who was executed in persia in 1850 and whose tomb in haifa, israel, is an important site for baha’is, emphasised the notion of messianic messengers from god – of whom baha’ullah claimed to be the latest example. baha’ism stresses the oneness of mankind and of all religions, with god’s truth progressively revealed by a succession of prophets, such as abraham, buddha, jesus and muhammad. one of the tenets of the faith is the equality of men and women; another is the need to seek world peace. there are perhaps 7m baha’is around the world, more than 2m of them in india. in iran there remain about 350,000 but they are the subject of persecution, accused of being apostates from islam."
47,48,Balkanism,巴尔干化,"The process of dividing a region or country into small and quarrelsome parts – or, by extension, a political movement. the term comes from the troubled history of europe’s balkan peninsula, with wars in the late 19th century and early 20th century as the ottoman empire disintegrated, and again in the late 20th century as yugoslavia disintegrated. these wars variously involved serbia, greece, albania, macedonia, montenegro, bosnia, croatia, kosovo, turkey, romania and bulgaria."
48,49,Baptism,洗礼,"The ritual, by sprinkling water onto a person’s forehead or immersing the person in water, that gives admission to the christian church. almost invariably the ceremony is accompanied by the trinitarian invocation of belief in the father, the son and the holy spirit. a form of baptism exists in judaism as the mikvah, a ritual immersion to achieve purity (for example, by orthodox women after menstruation), and the new testament refers to john the baptist – born a jew – baptising jesus. most early christians were converts from judaism or paganism and so were baptised as adults, but the baptism of infants was certainly common by the 2nd century and is now the accepted custom of most christian denominations. several protestant churches, such as the baptists and pentecostals, limit baptism to adults, on the grounds that maturity is needed to make the profession of faith demanded by the ritual (for infant baptisms the profession of faith is normally made by the parents)."
49,50,Behaviouralism,行为科学主义,"The idea that political science – as with the natural sciences – should restrict itself to independently observable and quantifiable behaviour, for example through the study of society and culture and through opinion polls."
50,51,Behaviourism,行为主义,"A theory of learning that emphasises only objectively observable behaviour and so discounts the hypothesis of the mind. learning, therefore, is simply the acquisition of new behaviour. the russian psychologist ivan pavlov (1849–1936), with his ideas of conditioning, can be considered a behaviourist, as was b.f. skinner (1904–90), an american psychologist."
51,52,Bicameralism,两院制,"The more usual meaning is a system of government involving the coexistence (harmonious or otherwise) of two legislative bodies, such as the senate and the house of representatives in america or the house of lords and the house of commons in britain. a second meaning is a theory proposed in 1976 by julian jaynes (1920–97), an american psychologist, that at one point in human development one part of the brain “spoke” to another, which in turn listened and obeyed. ancient man would therefore experience his environment rather as a schizophrenic might today."
